Country,Country,Continent,GDP (millions of US$)
Afghanistan,ıAfghanistan,Asia,18181
Albania,ıAlbania,Europe,12847
Algeria,ıAlgeria,Africa,190709
Angola,ıAngola,Africa,100948
Argentina,ıArgentina,South America,447644
Australia,ıAustralia,Oceania,1488221
Austria,ıAustria,Europe,419243
Azerbaijan,ıAzerbaijan,Europe,62321
Bahrain,ıBahrain,Asia,26108
Bangladesh,ıBangladesh,Asia,113032
Belarus,ıBelarus,Europe,55483
Belgium,ıBelgium,Europe,513396
Bolivia,ıBolivia,Africa,24604
Bosnia and Herzegovina,ıBosnia and Herzegovina,Europe,17965
Botswana,ıBotswana,Africa,17570
Brazil,ıBrazil,South America,2492908
Brunei,ıBrunei,Asia,15533
Bulgaria,ıBulgaria,Europe,53514
Burma,ıBurma,Asia,51925
Cambodia,ıCambodia,Asia,12861
Cameroon,ıCameroon,Africa,25759
Canada,ıCanada,North America,1736869
Chile,ıChile,South America,248411
China,ıChina,Asia,7298147
Colombia,ıColombia,South America,328422
"Congo, Democratic Republic of the","ıCongo, Democratic Republic of the",Africa,15668
"Congo, Republic of the","ıCongo, Republic of the",Africa,14769
Costa Rica,ıCosta Rica,North America,40947
Cï¿½te d'Ivoi,ıCıte d'Ivoire,Africa,24096
Croatia,ıCroatia,Europe,63842
Cyprus,ıCyprus,Europe,24949
Czech Republic,ıCzech Republic,Europe,215265
Denmark,ıDenmark,Europe,333238
Dominican Republic,ıDominican Republic,North America,56700
Ecuador,ıEcuador,South America,66381
Egypt,ıEgypt,Africa,235719
El Salvador,ıEl Salvador,North America,22761
Equatorial Guinea,ıEquatorial Guinea,Africa,19805
Estonia,ıEstonia,Europe,22225
Ethiopia,ıEthiopia,Africa,31256
Finland,ıFinland,Europe,266553
France,ıFrance,Europe,2776324
Gabon,ıGabon,Africa,16176
Georgia,ıGeorgia,Europe,14347
Germany,ıGermany,Europe,3577031
Ghana,ıGhana,Africa,37158
Greece,ıGreece,Europe,303065
Guatemala,ıGuatemala,North America,46897
Honduras,ıHonduras,North America,17381
Hong Kong,ıHong Kong,Asia,243302
Hungary,ıHungary,Europe,140303
Iceland,ıIceland,Europe,14048
India,ıIndia,Asia,1676143
Indonesia,ıIndonesia,Asia,845680
Iran,ıIran,Asia,482445
Iraq,ıIraq,Asia,115388
Ireland,ıIreland,Europe,217669
Israel,ıIsrael,Asia,242897
Italy,ıItaly,Europe,2198730
Jamaica,ıJamaica,North America,14807
Japan,ıJapan,Asia,5869471
Jordan,ıJordan,Africa,29233
Kazakhstan,ıKazakhstan,Asia,178312
Kenya,ıKenya,Africa,34796
Kuwait,ıKuwait,Asia,176667
Latvia,ıLatvia,Europe,28252
Lebanon,ıLebanon,Asia,39039
Libya,ıLibya,Africa,36874
Lithuania,ıLithuania,Europe,42718
Luxembourg,ıLuxembourg,Europe,58412
Malaysia,ıMalaysia,Asia,278680
Mali,ıMali,Africa,10600
Mauritius,ıMauritius,Africa,11313
Mexico,ıMexico,North America,1154784
Morocco,ıMorocco,Africa,99241
Mozambique,ıMozambique,Africa,12827
Namibia,ıNamibia,Africa,12461
Nepal,ıNepal,Asia,18580
Netherlands,ıNetherlands,Europe,840433
New Zealand,ıNew Zealand,Oceania,161851
Nigeria,ıNigeria,Africa,238920
Norway,ıNorway,Europe,483650
Oman,ıOman,Asia,71888
Pakistan,ıPakistan,Asia,210566
Panama,ıPanama,North America,30569
Papua New Guinea,ıPapua New Guinea,Oceania,12655
Paraguay,ıParaguay,South America,21236
Peru,ıPeru,South America,173502
Philippines,ıPhilippines,Asia,213129
Poland,ıPoland,Europe,513821
Portugal,ıPortugal,Europe,238880
Qatar,ıQatar,Asia,173847
Romania,ıRomania,Europe,189776
Russia,ıRussia,Asia,1850401
Saudi Arabia,ıSaudi Arabia,Asia,577595
Senegal,ıSenegal,Africa,14461
Serbia,ıSerbia,Europe,45064
Singapore,ıSingapore,Asia,259849
Slovakia,ıSlovakia,Europe,96089
Slovenia,ıSlovenia,Europe,49588
South Africa,ıSouth Africa,Africa,408074
South Korea,ıSouth Korea,Asia,1116247
Spain,ıSpain,Europe,1493513
Sri Lanka,ıSri Lanka,Asia,59095
Sudan + ï¿½South Sud,ıSudan + ıSouth Sudan,Africa,64750
Sweden,ıSweden,Europe,538237
Switzerland,ıSwitzerland,Europe,636059
Taiwan,ıTaiwan,Asia,466832
Tanzania,ıTanzania,Africa,23333
Thailand,ıThailand,Asia,345649
Trinidad and Tobago,ıTrinidad and Tobago,North America,22707
Tunisia,ıTunisia,Asia,46360
Turkey,ıTurkey,Asia,778089
Turkmenistan,ıTurkmenistan,Asia,25742
Uganda,ıUganda,Africa,16810
Ukraine,ıUkraine,Europe,164960
United Arab Emirates,ıUnited Arab Emirates,Asia,360136
United Kingdom,ıUnited Kingdom,Europe,2417570
United States,ıUnited States,North America,15094025
Uruguay,ıUruguay,South America,46872
Uzbekistan,ıUzbekistan,Asia,45353
Venezuela,ıVenezuela,South America,315841
Vietnam,ıVietnam,Asia,122722
Yemen,ıYemen,Africa,33675
Zambia,ıZambia,Africa,19206
